"","Heading","Subsection","Table_Name","Table_Code","CSS_Selector","URL"
"1","Seasons","Schedule and results","Schedule",1,"schedule","https://widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fleagues%2FNBA_2017_games-october.html&div=div_schedule"
"2","Seasons","Seasons > Standings","Expanded standings",2,"expanded_standings","https://widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fleagues%2FNBA_2017_standings.html&div=div_expanded_standings"
"3","Seasons","[Year] Season","Team Stats per game",3,"team-stats-per_game","widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fleagues%2FNBA_2018.html&div=div_"
"4","Teams","Which Franchise","Advanced PBP",4,"advanced_pbp","https://widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fteams%2FBOS%2F2018.html&div=div_advanced"
"5","Teams","Which Franchise","Salary",5,"salaries2","https://widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fteams%2FBOS%2F2018.html&div=div_salaries2"
"6","Teams","Which Team","Roster",6,"roster","https://widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fteams%2FBOS%2F2018.html&div=div_per_game"
"7","Teams","Which Team, then Roster & Stats","Per Game",7,"per_game","https://widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fteams%2FBOS%2F2018.html&div=div_per_game"
"8","Teams","Team Page > Roster & Stats","Advanced",8,"advanced","widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fteams%2FBOS%2F2018.html&div=div_advanced"
"9","Teams","Team Page > Roster & Stats","Shooting",9,"shooting","widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fteams%2FBOS%2F2018.html&div=div_shooting"
"10","Teams","Team Page > More [Team Name] Pages","Contracts",10,"contracts","widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fcontracts%2FBOS.html&div=div_contracts"
"11","Teams","Team Page > More [Team Name] Pages > Team Payroll > Salary cap history","Cap History",11,"salary_cap_history","widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fcontracts%2Fsalary-cap-history.html&div=div_salary_cap_history"
"12","Playoffs","Playoffs > Summary > Per G","Per Game Stats",12,"per_game_stats","widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fplayoffs%2FNBA_2017_per_game.html&div=div_per_game_stats"
"13","Playoffs","Playoffs > Summary","Team Stats per game",13,"team-stats-per_game","widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fplayoffs%2FNBA_2017.html&div=div_team-stats-per_game"
"14","Playoffs","Playoffs > Summary > Advanced","Advanced Stats",14,"advanced_stats","widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fplayoffs%2FNBA_2017_advanced.html&div=div_advanced_stats"
"15","Playoffs","Playoffs > Summary","Team Shooting",15,"team_shooting","widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fplayoffs%2FNBA_2017.html&div=div_team_shooting"
"16","Playoffs","Year then schedule and results","Playoffs Schedule",16,"schedule","https://widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fplayoffs%2FNBA_2017_games.html&div=div_schedule"
"17","Playoffs","Playoffs > Summary","Opponent per game",17,"opponent-stats-per_game","https://widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fplayoffs%2FNBA_2017.html&div=div_opponent-stats-per_game"
"18","Playoffs","Playoffs > Summary","Opponent shooting",18,"opponent_shooting","https://widgets.sports-reference.com/wg.fcgi?css=1&site=bbr&url=%2Fplayoffs%2FNBA_2017.html&div=div_opponent_shooting"
