Franchise,From,To,Abbreviation
Atlanta Hawks,1950,2018,ATL
Boston Celtics,1947,2018,BOS
Brooklyn Nets,1968,2018,BRK
Brooklyn Nets,2013,2018,BRK
New Jersey Nets,1978,2012,NJN
Charlotte Hornets,1989,2018,CHO
Charlotte Hornets,2015,2018,CHO
Charlotte Bobcats,2005,2014,CHA
Chicago Bulls,1967,2018,CHI
Cleveland Cavaliers,1971,2018,CLE
Dallas Mavericks,1981,2018,DAL
Denver Nuggets,1968,2018,DEN
Detroit Pistons,1949,2018,DET
Golden State Warriors,1947,2018,GSW
Houston Rockets,1968,2018,HOU
Indiana Pacers,1968,2018,IND
Los Angeles Clippers,1971,2018,LAC
Los Angeles Lakers,1949,2018,LAL
Memphis Grizzlies,1996,2018,MEM
Miami Heat,1989,2018,MIA
Milwaukee Bucks,1969,2018,MIL
Minnesota Timberwolves,1990,2018,MIN
New Orleans Pelicans,2003,2018,NOP
New Orleans Pelicans,2014,2018,NOP
NO/Ok. City Hornets,2006,2007,NOK
New Orleans Hornets,2003,2013,NOH
New York Knicks,1947,2018,NYK
Oklahoma City Thunder,1968,2018,OKC
Oklahoma City Thunder,2009,2018,OKC
Seattle SuperSonics,1968,2008,SEA
Orlando Magic,1990,2018,ORL
Philadelphia 76ers,1950,2018,PHI
Phoenix Suns,1969,2018,PHO
Portland Trail Blazers,1971,2018,POR
Sacramento Kings,1949,2018,SAC
San Antonio Spurs,1968,2018,SAS
Toronto Raptors,1996,2018,TOR
Utah Jazz,1975,2018,UTA
Washington Wizards,1962,2018,WAS
